from,to,stop,dist,change
[S],s_way/228788194_b_4,,,
s_way/228788194_b_4,s_way/228788194_b_3,8,,
s_way/228788194_b_3,s_way/228788194_b_2,,,
s_way/228788194_b_2,s_way/228788194_f_1,jc_cin,,
s_way/228788194_f_1,s_way/154906086_f_2,,,
s_way/154906086_f_2,s_way/154906086_f_3,,,
s_way/154906086_f_3,s_way/154906086_f_4,,,
s_way/154906086_f_4,s_way/154906086_f_5,jc_can,,
s_way/154906086_f_5,s_way/154906086_f_6,,,
s_way/154906086_f_6,s_way/154906086_f_7,,,
s_way/154906086_f_7,s_way/154906086_f_8,,,
s_way/154906086_f_8,s_way/154906086_f_9,,,
s_way/154906086_f_9,s_way/754267308_f_1,,,
s_way/754267308_f_1,s_way/378474719_f_6,,,
s_way/378474719_f_6,s_way/754267301_f_1,5,,
s_way/754267301_f_1,s_way/754267301_f_2,,,
s_way/754267301_f_2,s_way/754267301_f_3,,,
s_way/754267301_f_3,s_way/754267301_f_4,4a,,
s_way/754267301_f_4,s_way/754267301_f_5,,,
s_way/754267301_f_5,s_way/754267301_f_6,12,,
s_way/754267301_f_6,s_way/754267301_f_7,,,
s_way/754267301_f_7,s_way/754267307_f_1,,,
s_way/754267307_f_1,s_way/754267307_f_2,,,
s_way/754267307_f_2,s_way/754267307_f_3,,,
s_way/754267307_f_3,s_way/754267307_f_4,,,
s_way/754267307_f_4,s_way/62182767_b_3,,,
s_way/62182767_b_3,s_way/62182767_b_2,1a,,
s_way/62182767_b_2,s_way/62182767_b_1,,,
s_way/62182767_b_1,s_way/62163435_f_1,13,,
s_way/62163435_f_1,s_way/62163435_f_2,,,
s_way/62163435_f_2,s_way/62163435_f_3,14,,
s_way/62163435_f_3,s_way/62163435_f_4,,,
s_way/62163435_f_4,s_way/754267303_f_1,,,
s_way/754267303_f_1,s_way/754267303_f_2,,,
s_way/754267303_f_2,s_way/754267303_f_3,,,
s_way/754267303_f_3,s_way/754267303_f_4,,,
s_way/754267303_f_4,s_way/228682151_f_1,15,,
s_way/228682151_f_1,s_way/228682151_f_2,,,
s_way/228682151_f_2,s_way/754267302_f_1,,,
s_way/754267302_f_1,s_way/754267302_f_2,,,
s_way/754267302_f_2,s_way/754267302_f_3,,,
s_way/754267302_f_3,s_way/754267302_f_4,,,
s_way/754267302_f_4,s_way/754267302_f_5,,,
s_way/754267302_f_5,s_way/738335733_f_1,,,
s_way/738335733_f_1,s_way/738335733_f_2,,,
s_way/738335733_f_2,s_way/738335733_f_3,,,
s_way/738335733_f_3,s_way/62353167_f_2,,,
s_way/62353167_f_2,s_way/62353167_f_3,,,
s_way/62353167_f_3,s_way/62353167_f_4,,,
s_way/62353167_f_4,s_way/62353167_f_5,,,
s_way/62353167_f_5,s_way/62353167_f_6,,,
s_way/62353167_f_6,s_way/62353167_f_7,,,
s_way/62353167_f_7,s_way/62353167_f_8,,,
s_way/62353167_f_8,s_way/62353167_f_9,,,
s_way/62353167_f_9,s_way/62353167_f_10,,,
s_way/62353167_f_10,s_way/62353167_f_11,,,
s_way/62353167_f_11,s_way/62163433_f_1,ra,,1a_b
s_way/62163433_f_1,s_way/62163433_f_2,,,1a_b
s_way/62163433_f_2,s_way/62163433_f_3,,,1a_b
