from,to,stop,dist,change
[S],s_way/228788194_b_5,,,
s_way/228788194_b_5,s_way/228788194_b_4,,,
s_way/228788194_b_4,s_way/228788194_b_3,8,,
s_way/228788194_b_3,s_way/228788194_b_2,,,
s_way/228788194_b_2,s_way/228788194_b_1,,,
s_way/228788194_b_1,s_way/228788193_b_6,,,
s_way/228788193_b_6,s_way/228788193_b_5,,,
s_way/228788193_b_5,s_way/228788193_b_4,9,,
s_way/228788193_b_4,s_way/228788193_b_3,10,,
s_way/228788193_b_3,s_way/228788193_b_2,,,
s_way/228788193_b_2,s_way/228788193_b_1,,,
s_way/228788193_b_1,s_way/378474719_f_1,,,
s_way/378474719_f_1,s_way/378474719_f_2,,,
s_way/378474719_f_2,s_way/378474719_f_3,,,
s_way/378474719_f_3,s_way/378474719_f_4,11,,
s_way/378474719_f_4,s_way/378474719_f_5,,,
s_way/378474719_f_5,s_way/378474719_f_6,,,
s_way/378474719_f_6,s_way/62274156_f_1,30,,
s_way/62274156_f_1,s_way/62274156_f_2,,,
s_way/62274156_f_2,s_way/62274156_f_3,,,
s_way/62274156_f_3,s_way/62274156_f_4,,,
s_way/62274156_f_4,s_way/62274156_f_5,,,
s_way/62274156_f_5,s_way/62274156_f_6,a14,,
s_way/62274156_f_6,s_way/62274156_f_7,,,
s_way/62274156_f_7,s_way/694594557_b_10,,,
s_way/694594557_b_10,s_way/694594557_b_9,c11,,
s_way/694594557_b_9,s_way/694594557_b_8,c9,,
s_way/694594557_b_8,s_way/694594557_b_7,,,
s_way/694594557_b_7,s_way/694594557_b_6,c7,,
s_way/694594557_b_6,s_way/694594557_b_5,c4,,
s_way/694594557_b_5,s_way/694594557_b_4,c3,,
s_way/694594557_b_4,s_way/694594557_b_3,c2,,
s_way/694594557_b_3,s_way/694594557_b_2,c1,,
s_way/694594557_b_2,s_way/694594557_b_1,,,
s_way/694594557_b_1,s_way/754267302_f_1,,,
s_way/754267302_f_1,s_way/754267302_f_2,,,
s_way/754267302_f_2,s_way/754267302_f_3,,,
s_way/754267302_f_3,s_way/754267302_f_4,,,
s_way/754267302_f_4,s_way/754267302_f_5,,,
s_way/754267302_f_5,s_way/738335733_f_1,,,
s_way/738335733_f_1,s_way/738335733_f_2,,,
s_way/738335733_f_2,s_way/738335733_f_3,,,
s_way/738335733_f_3,s_way/62353167_f_2,,,
s_way/62353167_f_2,s_way/62353167_f_3,,,
s_way/62353167_f_3,s_way/62353167_f_4,,,
s_way/62353167_f_4,s_way/62353167_f_5,,,
s_way/62353167_f_5,s_way/62353167_f_6,,,
s_way/62353167_f_6,s_way/62353167_f_7,,,
s_way/62353167_f_7,s_way/62353167_f_8,,,
s_way/62353167_f_8,s_way/62353167_f_9,,,
s_way/62353167_f_9,s_way/62353167_f_10,,,
s_way/62353167_f_10,s_way/62353167_f_11,,,
s_way/62353167_f_11,s_way/62163433_f_1,ra,,
s_way/62163433_f_1,s_way/62163433_f_2,,,
s_way/62163433_f_2,s_way/62163433_f_3,,,
s_way/62163433_f_3,s_way/62163433_f_4,,,
s_way/62163433_f_4,s_way/62163433_f_5,,,
s_way/62163433_f_5,s_way/62163433_f_6,16,,
s_way/62163433_f_6,s_way/62163433_f_7,,,
s_way/62163433_f_7,s_way/62163433_f_8,17,,
s_way/62163433_f_8,s_way/62163433_f_9,,,
s_way/62163433_f_9,s_way/62164418_f_1,,,
s_way/62164418_f_1,s_way/62164418_f_2,,,
s_way/62164418_f_2,s_way/62164418_f_3,,,
s_way/62164418_f_3,s_way/62164418_f_4,,,
s_way/62164418_f_4,s_way/62164420_f_1,19,,
s_way/62164420_f_1,s_way/62164420_f_2,,,
s_way/62164420_f_2,s_way/62164420_f_3,,,
s_way/62164420_f_3,s_way/260092559_b_1,,,
s_way/260092559_b_1,s_way/62182767_f_1,,,
s_way/62182767_f_1,s_way/62182767_f_2,1,,
s_way/62182767_f_2,s_way/62182767_f_3,,,
s_way/62182767_f_3,s_way/62163431_f_1,,,
s_way/62163431_f_1,s_way/62163431_f_2,,,
s_way/62163431_f_2,s_way/62163431_f_3,,,
s_way/62163431_f_3,s_way/62163431_f_4,,,
s_way/62163431_f_4,s_way/754267301_b_7,3,,
s_way/754267301_b_7,s_way/754267301_b_6,4,,
s_way/754267301_b_6,s_way/754267301_b_5,,,
s_way/754267301_b_5,s_way/754267301_b_4,,,
s_way/754267301_b_4,s_way/754267301_b_3,,,
s_way/754267301_b_3,s_way/754267301_b_2,5,,
s_way/754267301_b_2,s_way/754267301_b_1,,,
s_way/754267301_b_1,s_way/378474719_b_6,,,
s_way/378474719_b_6,s_way/754267308_b_1,,,
s_way/754267308_b_1,s_way/154906086_b_9,,,
s_way/154906086_b_9,s_way/154906086_b_8,,,
s_way/154906086_b_8,s_way/154906086_b_7,,,
s_way/154906086_b_7,s_way/154906086_b_6,jc_can,,
s_way/154906086_b_6,s_way/154906086_b_5,,,
s_way/154906086_b_5,s_way/154906086_b_4,,,
s_way/154906086_b_4,s_way/154906086_b_3,,,
s_way/154906086_b_3,s_way/154906086_b_2,jc_cin,,
s_way/154906086_b_2,s_way/228788194_f_1,,,
s_way/228788194_f_1,s_way/228788194_f_2,8,,
s_way/228788194_f_2,[E],,,
s_way/228788194_f_3,[E],,,
s_way/228788194_f_4,[E],,,
s_way/228788194_f_5,[E],,,
s_way/228788194_f_6,[E],,,
s_way/228788194_f_7,[E],,,
s_way/228788194_f_8,[E],,,
s_way/228788194_f_9,[E],,,
s_way/228788194_f_10,[E],,,
s_way/228788194_f_11,[E],,,
s_way/228788194_f_12,[E],,,
s_way/228788194_b_6,[E],,,
s_way/228788194_f_7,[E],,,
s_way/228788194_f_8,[E],,,
s_way/228788194_f_9,[E],,,
s_way/228788194_f_10,[E],,,
s_way/228788194_f_11,[E],,,
s_way/228788194_f_12,[E],,,
s_way/617530196_f_1,[E],,,
s_way/617530196_b_1,[E],,,
s_way/228653393_b_1,[E],,,
s_way/228653393_b_2,[E],,,
s_way/228653393_b_3,[E],,,
s_way/228653390_f_1,[E],,,
s_way/228653390_f_2,[E],,,
s_way/228653390_f_3,[E],,,
s_way/228653390_f_4,[E],,,
s_way/228653390_f_5,[E],,,
s_way/228653390_f_6,[E],,,
s_way/228653390_f_7,[E],,,
s_way/228653390_f_8,[E],,,
s_way/196051627_f_1,[E],,,
s_way/228653393_f_1,[E],,,
s_way/228653393_f_2,[E],,,
s_way/228653393_f_3,[E],,,
s_way/228653390_b_1,[E],,,
s_way/228653390_b_2,[E],,,
s_way/228653390_b_3,[E],,,
s_way/228653390_b_4,[E],,,
s_way/228653390_b_5,[E],,,
s_way/228653390_b_6,[E],,,
s_way/228653390_b_7,[E],,,
s_way/228653390_b_8,[E],,,
s_way/196051627_b_1,[E],,,
s_way/618122348_f_1,[E],,,
s_way/618122348_f_2,[E],,,
s_way/618122348_f_3,[E],,,
s_way/618122348_f_4,[E],,,
s_way/618122348_b_1,[E],,,
s_way/618122348_b_2,[E],,,
s_way/618122348_b_3,[E],,,
s_way/618122348_b_4,[E],,,
s_way/618122347_f_1,[E],,,
s_way/618122347_f_2,[E],,,
s_way/618122347_b_1,[E],,,
s_way/618122347_b_2,[E],,,
s_way/618122349_f_1,[E],,,
s_way/618122349_f_2,[E],,,
s_way/618122349_f_3,[E],,,
s_way/618122349_b_1,[E],,,
s_way/618122349_b_2,[E],,,
s_way/618122349_b_3,[E],,,
s_way/618122350_f_1,[E],,,
s_way/618122350_f_2,[E],,,
s_way/618122350_f_3,[E],,,
s_way/618122350_f_4,[E],,,
s_way/618122350_b_1,[E],,,
s_way/618122350_b_2,[E],,,
s_way/618122350_b_3,[E],,,
s_way/618122350_b_4,[E],,,
s_way/618122351_f_1,[E],,,
s_way/618122351_f_2,[E],,,
s_way/618122351_b_1,[E],,,
s_way/618122351_b_2,[E],,,
s_way/618122352_f_1,[E],,,
s_way/618122352_f_2,[E],,,
s_way/618122352_b_1,[E],,,
s_way/618122352_b_2,[E],,,
s_way/618122353_f_1,[E],,,
s_way/618122353_b_1,[E],,,
s_way/617530195_f_1,[E],,,
s_way/617530195_f_2,[E],,,
s_way/617530195_b_1,[E],,,
s_way/617530195_b_2,[E],,,
s_way/617530194_f_1,[E],,,
s_way/617530194_f_2,[E],,,
s_way/617530194_b_1,[E],,,
s_way/617530194_b_2,[E],,,
s_way/617530193_f_1,[E],,,
s_way/617530193_f_2,[E],,,
s_way/617530193_f_3,[E],,,
s_way/617530193_b_1,[E],,,
s_way/617530193_b_2,[E],,,
s_way/617530193_b_3,[E],,,
s_way/228652838_f_1,[E],,,
s_way/228652838_f_2,[E],,,
s_way/228652838_f_3,[E],,,
s_way/228652838_f_4,[E],,,
s_way/228652838_f_5,[E],,,
s_way/228652838_f_6,[E],,,
s_way/228652838_f_7,[E],,,
s_way/228652838_f_8,[E],,,
s_way/228652838_b_1,[E],,,
s_way/228652838_b_2,[E],,,
s_way/228652838_b_3,[E],,,
s_way/228652838_b_4,[E],,,
s_way/228652838_b_5,[E],,,
s_way/228652838_b_6,[E],,,
s_way/228652838_b_7,[E],,,
s_way/228652838_b_8,[E],,,
s_way/228652826_f_1,[E],,,
s_way/228652826_b_1,[E],,,
s_way/228652829_f_1,,,,
s_way/228652829_b_1,,,,
