from,to,stop,dist,change
[S],s_way/229203949_b_7,tu_dome,,
s_way/229203949_b_7,s_way/229203949_b_6,,,
s_way/229203949_b_6,s_way/229203949_b_5,,,
s_way/229203949_b_5,s_way/229203949_b_4,,,
s_way/229203949_b_4,s_way/229203949_b_3,,,
s_way/229203949_b_3,s_way/229203949_b_2,,,
s_way/229203949_b_2,s_way/229203949_b_1,,,
s_way/229203949_b_1,s_way/754255198_f_1,cr,,
s_way/754255198_f_1,s_way/754255198_f_2,,,
s_way/754255198_f_2,s_way/228788193_b_5,,,
s_way/228788193_b_5,s_way/228788193_b_4,9,,
s_way/228788193_b_4,s_way/228788193_b_3,10,,
s_way/228788193_b_3,s_way/228788193_b_2,,,
s_way/228788193_b_2,s_way/228788193_b_1,,,
s_way/228788193_b_1,s_way/378474719_f_1,,,
s_way/378474719_f_1,s_way/378474719_f_2,,,
s_way/378474719_f_2,s_way/378474719_f_3,,,
s_way/378474719_f_3,s_way/378474719_f_4,11,,
s_way/378474719_f_4,s_way/378474719_f_5,,,
s_way/378474719_f_5,s_way/378474719_f_6,,,
s_way/378474719_f_6,s_way/754267301_f_1,5,,
s_way/754267301_f_1,s_way/754267301_f_2,,,
s_way/754267301_f_2,s_way/754267301_f_3,,,
s_way/754267301_f_3,s_way/754267301_f_4,4a,,
s_way/754267301_f_4,s_way/754267301_f_5,,,
s_way/754267301_f_5,s_way/754267301_f_6,12,,
s_way/754267301_f_6,s_way/754267301_f_7,,,
s_way/754267301_f_7,s_way/754267307_f_1,,,
s_way/754267307_f_1,s_way/754267307_f_2,,,
s_way/754267307_f_2,s_way/754267307_f_3,,,
s_way/754267307_f_3,s_way/754267307_f_4,,,
s_way/754267307_f_4,s_way/62163431_f_1,,,
s_way/62163431_f_1,s_way/62163431_f_2,,,
s_way/62163431_f_2,s_way/62163431_f_3,,,
s_way/62163431_f_3,s_way/62163431_f_4,,,
s_way/62163431_f_4,s_way/754267301_b_7,3,,
s_way/754267301_b_7,s_way/754267301_b_6,4,,
s_way/754267301_b_6,s_way/754267301_b_5,,,
s_way/754267301_b_5,s_way/754267301_b_4,,,
s_way/754267301_b_4,s_way/754267301_b_3,,,
s_way/754267301_b_3,s_way/754267301_b_2,5,,
s_way/754267301_b_2,s_way/754267301_b_1,,,
s_way/754267301_b_1,s_way/378474719_b_6,,,
s_way/378474719_b_6,s_way/378474719_b_5,,,
s_way/378474719_b_5,s_way/378474719_b_4,11a,,
s_way/378474719_b_4,s_way/378474719_b_3,,,
s_way/378474719_b_3,s_way/378474719_b_2,,,
s_way/378474719_b_2,s_way/378474719_b_1,,,
s_way/378474719_b_1,s_way/228788193_f_1,10a,,
s_way/228788193_f_1,s_way/228788193_f_2,,,
s_way/228788193_f_2,s_way/228788193_f_3,,,
s_way/228788193_f_3,s_way/228788193_f_4,9a,,
s_way/228788193_f_4,s_way/228788193_f_5,,,
s_way/228788193_f_5,s_way/228788193_f_6,,,
s_way/228788193_f_6,s_way/228366264_f_1,,,
s_way/228366264_f_1,s_way/228366260_f_1,cr,,
s_way/228366260_f_1,s_way/229203949_f_1,,,
s_way/229203949_f_1,s_way/229203949_f_2,,,
s_way/229203949_f_2,s_way/229203949_f_3,,,
s_way/229203949_f_3,s_way/229203949_f_4,,,
s_way/229203949_f_4,s_way/229203949_f_5,,,
s_way/229203949_f_5,s_way/229203949_f_6,tu_dome,,
s_way/229203949_f_6,[E],,,
s_way/229203949_f_7,[E],,,
s_way/229203949_f_8,[E],,,
s_way/228262683_f_1,[E],,,
s_way/228262683_f_2,[E],,,
s_way/228262683_f_3,[E],,,
s_way/228262683_b_1,[E],,,
s_way/228262683_b_2,[E],,,
s_way/228262683_b_3,[E],,,
s_way/617555582_f_1,[E],,,
s_way/617555582_f_2,[E],,,
s_way/617555582_f_3,[E],,,
s_way/617555582_b_1,[E],,,
s_way/617555582_b_2,[E],,,
s_way/617555582_b_3,[E],,,
s_way/617555581_f_1,[E],,,
s_way/617555581_f_2,[E],,,
s_way/617555581_b_1,[E],,,
s_way/617555581_b_2,[E],,,
s_way/174967794_f_1,[E],,,
s_way/174967794_f_2,[E],,,
s_way/174967794_f_3,[E],,,
s_way/174967794_f_4,[E],,,
s_way/174967794_f_5,[E],,,
s_way/174967794_f_6,[E],,,
s_way/174967794_f_7,[E],,,
s_way/174967794_f_8,[E],,,
s_way/174967794_f_9,[E],,,
s_way/174967794_f_10,[E],,,
s_way/174967794_f_11,[E],,,
s_way/174967794_f_12,[E],,,
s_way/174967794_b_1,[E],,,
s_way/174967794_b_2,[E],,,
s_way/174967794_b_3,[E],,,
s_way/174967794_b_4,[E],,,
s_way/174967794_b_5,[E],,,
s_way/174967794_b_6,[E],,,
s_way/174967794_b_7,[E],,,
s_way/174967794_b_8,[E],,,
s_way/174967794_b_9,[E],,,
s_way/174967794_b_10,[E],,,
s_way/174967794_b_11,[E],,,
s_way/174967794_b_12,[E],,,
s_way/62163438_f_1,[E],,,
s_way/62163438_f_2,[E],,,
s_way/62163438_b_1,[E],,,
s_way/62163438_b_2,[E],,,
s_way/754255199_f_1,[E],,,
s_way/754255199_f_2,[E],,,
s_way/754255199_b_1,[E],,,
s_way/754255199_b_2,[E],,,
s_way/229203949_f_8,[E],,,
s_way/229203949_b_8,[E],,,
s_way/228713412_f_1,[E],,,
s_way/228713412_f_2,[E],,,
s_way/228713412_b_1,[E],,,
s_way/228713412_b_2,[E],,,
s_way/228625807_f_1,[E],,,
s_way/228625807_f_2,[E],,,
s_way/228625807_b_1,[E],,,
s_way/228625807_b_2,[E],,,
s_way/229201295_f_1,[E],,,
s_way/229201295_f_2,[E],,,
s_way/229201295_f_3,[E],,,
s_way/229201295_b_1,[E],,,
s_way/229201295_b_2,[E],,,
s_way/229201295_b_3,[E],,,
s_way/228713410_f_1,[E],,,
s_way/228713410_f_2,[E],,,
s_way/228713410_f_3,[E],,,
s_way/228713410_f_4,[E],,,
s_way/228713410_b_1,[E],,,
s_way/228713410_b_2,[E],,,
s_way/228713410_b_3,[E],,,
s_way/228713410_b_4,[E],,,
