from,to,stop,dist,change,
[S],s_way/228788194_b_5,,,,
s_way/228788194_b_5,s_way/228788194_b_4,,,,
s_way/228788194_b_4,s_way/228788194_b_3,8,,,
s_way/228788194_b_3,s_way/228788194_b_2,,,,
s_way/228788194_b_2,s_way/228788194_b_1,,,,
s_way/228788194_b_1,s_way/228788193_b_6,,,,
s_way/228788193_b_6,s_way/228788193_b_5,,,,
s_way/228788193_b_5,s_way/228788193_b_4,9,,,
s_way/228788193_b_4,s_way/228788193_b_3,10,,,
s_way/228788193_b_3,s_way/228788193_b_2,,,,
s_way/228788193_b_2,s_way/228788193_b_1,,,,
s_way/228788193_b_1,s_way/378474719_f_1,,,,
s_way/378474719_f_1,s_way/378474719_f_2,,,,
s_way/378474719_f_2,s_way/378474719_f_3,,,,
s_way/378474719_f_3,s_way/378474719_f_4,11,,,
s_way/378474719_f_4,s_way/378474719_f_5,,,,
s_way/378474719_f_5,s_way/378474719_f_6,,,,
s_way/378474719_f_6,s_way/754267301_f_1,5,,,
s_way/754267301_f_1,s_way/754267301_f_2,,,,
s_way/754267301_f_2,s_way/754267301_f_3,,,,
s_way/754267301_f_3,s_way/754267301_f_4,4a,,,
s_way/754267301_f_4,s_way/754267301_f_5,,,,
s_way/754267301_f_5,s_way/754267301_f_6,12,,,
s_way/754267301_f_6,s_way/754267301_f_7,,,,
s_way/754267301_f_7,s_way/754267307_f_1,,,,
s_way/754267307_f_1,s_way/754267307_f_2,,,,
s_way/754267307_f_2,s_way/754267307_f_3,,,,
s_way/754267307_f_3,s_way/754267307_f_4,,,,
s_way/754267307_f_4,s_way/62163431_f_1,,,,
s_way/62163431_f_1,s_way/62163431_f_2,,,,
s_way/62163431_f_2,s_way/62163431_f_3,,,,
s_way/62163431_f_3,s_way/62163431_f_4,,,,
s_way/62163431_f_4,s_way/754267301_b_7,3,,,
s_way/754267301_b_7,s_way/754267301_b_6,4,,,
s_way/754267301_b_6,s_way/754267301_b_5,,,,
s_way/754267301_b_5,s_way/754267301_b_4,,,,
s_way/754267301_b_4,s_way/754267301_b_3,,,,
s_way/754267301_b_3,s_way/754267301_b_2,5,,,
s_way/754267301_b_2,s_way/754267301_b_1,,,,
s_way/754267301_b_1,s_way/378474719_b_6,,,,
s_way/378474719_b_6,s_way/378474719_b_5,,,,
s_way/378474719_b_5,s_way/378474719_b_4,11a,,,
s_way/378474719_b_4,s_way/378474719_b_3,,,,
s_way/378474719_b_3,s_way/378474719_b_2,,,,
s_way/378474719_b_2,s_way/378474719_b_1,,,,
s_way/378474719_b_1,s_way/228788193_f_1,10a,,,
s_way/228788193_f_1,s_way/228788193_f_2,,,,
s_way/228788193_f_2,s_way/228788193_f_3,,,,
s_way/228788193_f_3,s_way/228788193_f_4,9a,,,
s_way/228788193_f_4,s_way/228788193_f_5,,,,
s_way/228788193_f_5,s_way/228788193_f_6,,,,
s_way/228788193_f_6,s_way/228788194_f_1,,,,
s_way/228788194_f_1,s_way/228788194_f_2,8,,,
s_way/228788194_f_2,s_way/228788194_f_3,,,,
s_way/228788194_f_3,s_way/228653393_b_1,,,,
s_way/228653393_b_1,s_way/228653393_b_2,siit,,,
s_way/228653393_b_2,s_way/228653393_b_3,,,,
s_way/228653393_b_3,s_way/228653390_f_1,,,,
s_way/228653390_f_1,s_way/228653390_f_2,,,,
s_way/228653390_f_2,s_way/228653390_f_3,,,,
s_way/228653390_f_3,s_way/228653390_f_4,,,,
s_way/228653390_f_4,s_way/228653390_f_5,,,,
s_way/228653390_f_5,s_way/196051627_f_1,,,,
s_way/196051627_f_1,s_way/228788194_f_6,,,,
s_way/228788194_f_6,s_way/228788194_f_7,,,,
s_way/228788194_f_7,s_way/228788194_f_8,,,,
s_way/228788194_f_8,s_way/228788194_f_9,,,,
s_way/228788194_f_9,s_way/228788194_f_10,7,,,
s_way/228788194_f_10,s_way/228788194_f_11,,,,
s_way/228788194_f_11,s_way/228788194_f_12,,,,
s_way/228788194_f_12,s_way/228652834_f_1,,,,
s_way/228652834_f_1,s_way/228652834_f_2,,,,
s_way/228652834_f_2,s_way/228652834_f_3,,,,
s_way/228652834_f_3,s_way/228652834_f_4,,,,
s_way/228652834_f_4,s_way/65104111_b_1,,,,
s_way/65104111_b_1,s_way/228664529_f_1,,,,
s_way/228664529_f_1,s_way/228664529_f_2,,,,
s_way/228664529_f_2,s_way/228664529_f_3,,,,
s_way/228664529_f_3,s_way/228664529_f_4,,,,
s_way/228664529_f_4,s_way/228664529_f_5,,,,
s_way/228664529_f_5,s_way/228664529_f_6,,,,
s_way/228664529_f_6,s_way/228664529_f_7,,,,
s_way/228664529_f_7,s_way/617538747_f_1,,,,
s_way/617538747_f_1,s_way/617538747_f_2,cp,,,
s_way/617538747_f_2,s_way/617538747_f_3,,,,
s_way/617538747_f_3,s_way/617538747_f_4,,,,
s_way/617538747_f_4,s_way/617538747_f_5,,,,
s_way/617538747_f_5,s_way/228664529_b_7,,,,
s_way/228664529_b_7,s_way/228664529_b_6,,,,
s_way/228664529_b_6,s_way/228664529_b_5,,,,
s_way/228664529_b_5,s_way/228664529_b_4,,,,
s_way/228664529_b_4,s_way/228664529_b_3,,,,
s_way/228664529_b_3,s_way/228664529_b_2,,,,
s_way/228664529_b_2,s_way/228664529_b_1,,,,
s_way/228664529_b_1,s_way/65104111_f_1,,,,
s_way/65104111_f_1,s_way/65104111_f_2,,,,
s_way/65104111_f_2,s_way/228652839_f_1,,,,
s_way/228652839_f_1,s_way/228652839_f_2,,,,
s_way/228652839_f_2,s_way/228788194_b_12,,,,
s_way/228788194_b_12,s_way/228788194_b_11,7,,,
s_way/228788194_b_11,[E],,,,
s_way/228788194_b_10,[E],,,,
s_way/228788194_b_9,[E],,,,
s_way/228788194_b_8,[E],,,,
s_way/228788194_b_7,[E],,,,
s_way/228788194_b_6,[E],,,,
s_way/617538747_b_1,s_way/617538747_f_1,,,,
s_way/617538747_b_2,s_way/617538747_f_2,,,,
s_way/617538747_b_3,s_way/617538747_f_3,,,,
s_way/617538747_b_4,s_way/617538747_f_4,,,,
s_way/617538747_b_5,s_way/617538747_f_5,,,,
s_way/617530196_f_1,[E],,,,
s_way/617530196_b_1,[E],,,,
s_way/618122348_f_1,[E],,,,
s_way/618122348_f_2,[E],,,,
s_way/618122348_f_3,[E],,,,
s_way/618122348_f_4,[E],,,,
s_way/618122348_b_1,[E],,,,
s_way/618122348_b_2,[E],,,,
s_way/618122348_b_3,[E],,,,
s_way/618122348_b_4,[E],,,,
s_way/618122347_f_1,[E],,,,
s_way/618122347_f_2,[E],,,,
s_way/618122347_b_1,[E],,,,
s_way/618122347_b_2,[E],,,,
s_way/618122349_f_1,[E],,,,
s_way/618122349_f_2,[E],,,,
s_way/618122349_f_3,[E],,,,
s_way/618122349_b_1,[E],,,,
s_way/618122349_b_2,[E],,,,
s_way/618122349_b_3,[E],,,,
s_way/618122350_f_1,[E],,,,
s_way/618122350_f_2,[E],,,,
s_way/618122350_f_3,[E],,,,
s_way/618122350_f_4,[E],,,,
s_way/618122350_b_1,[E],,,,
s_way/618122350_b_2,[E],,,,
s_way/618122350_b_3,[E],,,,
s_way/618122350_b_4,[E],,,,
s_way/618122351_f_1,[E],,,,
s_way/618122351_f_2,[E],,,,
s_way/618122351_b_1,[E],,,,
s_way/618122351_b_2,[E],,,,
s_way/618122352_f_1,[E],,,,
s_way/618122352_f_2,[E],,,,
s_way/618122352_b_1,[E],,,,
s_way/618122352_b_2,[E],,,,
s_way/618122353_f_1,[E],,,,
s_way/618122353_b_1,[E],,,,
s_way/617530195_f_1,[E],,,,
s_way/617530195_f_2,[E],,,,
s_way/617530195_b_1,[E],,,,
s_way/617530195_b_2,[E],,,,
s_way/617530194_f_1,[E],,,,
s_way/617530194_f_2,[E],,,,
s_way/617530194_b_1,[E],,,,
s_way/617530194_b_2,[E],,,,
s_way/617530193_f_1,[E],,,,
s_way/617530193_f_2,[E],,,,
s_way/617530193_f_3,[E],,,,
s_way/617530193_b_1,[E],,,,
s_way/617530193_b_2,[E],,,,
s_way/617530193_b_3,[E],,,,
s_way/228652838_f_1,[E],,,,
s_way/228652838_f_2,[E],,,,
s_way/228652838_f_3,[E],,,,
s_way/228652838_f_4,[E],,,,
s_way/228652838_f_5,[E],,,,
s_way/228652838_f_6,[E],,,,
s_way/228652838_f_7,[E],,,,
s_way/228652838_f_8,[E],,,,
s_way/228652838_b_1,[E],,,,
s_way/228652838_b_2,[E],,,,
s_way/228652838_b_3,[E],,,,
s_way/228652838_b_4,[E],,,,
s_way/228652838_b_5,[E],,,,
s_way/228652838_b_6,[E],,,,
s_way/228652838_b_7,[E],,,,
s_way/228652838_b_8,[E],,,,
s_way/228652826_f_1,[E],,,,
s_way/228652826_b_1,[E],,,,
s_way/228652829_f_1,[E],,,,
s_way/228652829_b_1,[E],,,,
