trip_id,departure_time,stop_sequence,timepoint,arrival_time,stop_id,shape_dist_traveled
NGV-3001,07:20:05,1,0,07:20:00,TU-Dome,
NGV-3001,07:22:05,2,0,07:22:00,CR,
NGV-3001,07:23:05,3,0,07:23:00,09,
NGV-3001,07:24:05,4,0,07:24:00,10,
NGV-3001,07:25:50,5,0,07:25:45,11,
NGV-3001,07:26:30,6,0,07:26:25,หอพระ,
NGV-3001,07:27:45,7,0,07:27:40,G1,
NGV-3001,07:28:45,8,0,07:28:40,12,
NGV-3002,07:29:25,1,0,07:29:20,03,
NGV-3002,07:29:50,2,0,07:29:45,04,
NGV-3002,07:30:50,3,0,07:30:45,05,
NGV-3002,07:31:35,4,0,07:31:30,ASolar Cafe,
NGV-3002,07:32:55,5,0,07:32:50,นิติศาสตร์,
NGV-3002,07:34:10,6,0,07:34:05,CR back,
NGV-3002,07:36:50,7,0,07:36:45,TU-Dome,
NGV-1b001,07:21:00,1,0,07:20:00,08,
NGV-1b001,07:22:35,2,0,07:22:30,09,
NGV-1b001,07:23:35,3,0,07:23:30,10,
NGV-1b001,07:25:05,4,0,07:25:00,11,
NGV-1b001,07:25:45,5,0,07:25:40,30,
NGV-1b001,07:27:35,6,0,07:27:30,a14,
NGV-1b001,07:28:05,7,0,07:28:00,d11,
NGV-1b001,07:28:15,8,0,07:28:10,d09,
NGV-1b001,07:28:35,9,0,07:28:30,d07,
NGV-1b001,07:28:52,10,0,07:28:48,d04,
NGV-1b001,07:29:00,11,0,07:28:55,D03,
NGV-1b001,07:29:35,12,0,07:29:30,D01,
NGV-1b001,07:32:00,13,0,07:31:50,วงเวียน Asian,
NGV-1b001,07:32:35,14,0,07:32:30,16,
NGV-1b001,07:33:35,15,0,07:33:30,17,
NGV-1b001,07:35:35,16,0,07:35:30,19,
NGV-1b001,07:37:40,17,0,07:37:35,01,
NGV-1b001,07:38:10,18,0,07:38:05,03,
NGV-1b001,07:38:35,19,0,07:38:30,04,
NGV-1b001,07:40:15,20,0,07:40:10,05,
NGV-1b001,07:42:35,21,0,07:42:30,JCCanteen,
NGV-1b001,07:43:55,22,0,07:43:50,JC Cinema,
NGV-1b001,07:45:05,23,0,07:45:00,07,
